Family,Species,Lat,Long,Record,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Araneidae,Poltys noblei,-36.25,150,KS55686,6.15,2.2,2.25,3.9,3.2,3.3,1.2,2.25,2,1,2.75,1.1,1.75,1.5,0.75,2.3,1.2,1.5,0.75,0.5,2.5,1.25,2,1.5,0.5
Araneidae,Poltys noblei,-35.5,150,KS56884,7.6,2.7,1.75,4.9,2.25,2.75,1.25,2.25,1.9,1.05,3.25,1.25,2.5,2.05,1,2.75,0.95,1.65,1,0.55,2,1.15,2,1.3,0.4
Araneidae,Poltys noblei,-33.75,151,KS91116,8.2,3.05,2.3,5.15,2.75,3.5,1.75,2.25,2.35,1.35,4.25,1.55,3.1,2.5,1.25,2.4,NA,NA,NA,NA,3.95,0.95,2,1.7,0.8
Araneidae,Poltys noblei,-36,149,KS56887,9.5,3,2.4,6.5,3.25,3.9,1.25,2.6,1,0.75,3.45,1.25,2.45,1,8.3,2,1,1.5,1,0.55,2.25,1,2.2,1.25,0.5
Araneidae,Poltys noblei,-34.75,150.75,KS55750,9.95,3.3,2.75,6.65,2.5,4.8,1.75,4,1.75,1,3.75,1.6,3.75,2.25,1,3.25,1,1.75,1.35,0.75,4,1,2.25,1.35,0.9
Araneidae,Poltys noblei,-33.75,151.25,KS90956,13.2,3.95,3.1,9.25,4.65,4.45,1.75,3.5,2.75,1.5,NA,NA,NA,NA,NA,3.2,1.25,1.9,1.5,0.8,3.6,1.25,2.25,1.75,0.6
Araneidae,Poltys noblei,-37,149,KS55681,8.35,3.25,2.25,5.1,3.2,2.6,1,2.5,2.05,1.25,3,1,1.75,2.1,0.95,1.8,1.05,1.4,0.9,0.45,3.85,1.1,2,1.5,0.75
Araneidae,Poltys noblei,-31.5,152.75,KS10163,12.05,3,2,9,2.5,3.35,1.1,2.5,1.25,0.85,3.15,1.35,2.75,1,1,2.35,0.75,1.55,1.2,0.55,3.55,1.15,1.9,1.2,0.75
Araneidae,Poltys noblei,-33.75,151,KS33850,7.6,2.75,2,4.85,2.05,3.4,1.5,3,2.25,1.15,3.5,1.3,2.65,2,1,2.2,1,1.75,0.75,0.45,3.25,1.05,1.75,1.2,0.5
Araneidae,Poltys noblei,-33.5,151,KS52217,12.8,4,2,8.8,5,5.2,2.05,4.25,2.95,1.4,4.55,2.15,4.25,3,1.45,4,1.5,2.25,1,0.5,4.6,1.3,3.15,1.75,0.9
Araneidae,Poltys noblei,-33.5,151.25,KS33971,8.5,3.25,3.2,5.25,3.7,4.7,1.75,4.15,3,1.55,3.6,2,3.75,2.8,1.35,3,1.6,2,0.95,0.75,3,1.45,1.6,1.25,0.65
Araneidae,Poltys noblei,-33.75,151,KS34809,14.7,3,2,11.7,4,5.25,2,4.75,3,1.65,5.05,2.25,4.45,2.4,2.2,2.3,1.05,1.9,1.8,0.85,4,1.5,2.6,2.25,1.05
Araneidae,Poltys noblei,-30.75,152.5,KS70370,7.4,3.1,2.7,4.3,2.25,3.25,1.35,3.45,2.4,1.55,3.7,1.55,3.25,2.25,1.2,2.85,1.25,1.45,1.1,0.75,2.75,1.25,2.25,1.75,0.9
Araneidae,Poltys noblei,-30.75,152,KS124424,7.6,3.05,2.6,4.55,3.6,3.75,1.3,3.5,2.25,0.95,3.45,1.5,3.05,2,1,2.95,1.05,1.5,2,1.25,3.5,1.1,2.5,3,0.75
Araneidae,Poltys noblei,-33.5,151,KS91118,7.4,2.85,2.25,4.55,2,3.7,1.5,3,2,1,3.25,0.75,1.5,1.8,0.75,2.3,1,1.3,1.05,0.7,2.85,NA,NA,NA,NA
Lycosidae,Venonia micarioides,-31,150,KS82841,4.625,2.25,1.375,2.375,1.6,1.5,0.5,0.95,1.25,1,1.375,0.625,1.075,1,0.85,1.425,0.375,1,1.3,0.9,1.875,0.7,1.75,2,1
Lycosidae,Venonia micarioides,-30,150,KS82835,4.025,1.9,1.325,2.125,1.25,1.625,0.5,0.675,1.2,0.95,1.225,0.475,1,0.875,0.5,1.25,0.45,4.025,1.075,0.7,1.875,0.625,1.45,1.8,0.7
Lycosidae,Venonia micarioides,-31,150,KS82830,4,2,1.375,2,1,1.75,0.625,1.2,1.15,0.875,1.625,0.625,0.95,1.1,0.75,1.5,0.6,0.775,1.25,0.75,1.65,0.525,1.75,2.125,1
Lycosidae,Venonia micarioides,-37,144,KS128045,4.75,2.5,1.5,2.25,1.1,1.75,0.625,1.575,1.325,1.125,NA,NA,NA,NA,NA,2,0.5,0.925,1.55,0.75,2.5,0.5,1.625,2.375,0.95
Lycosidae,Venonia micarioides,-28.75,149,KS76617,3.65,1.65,1.25,2,1.35,1.425,0.375,1.125,1.15,0.975,1.25,0.375,0.875,1,0.75,1.25,0.325,0.85,1.075,0.625,1.975,0.5,1.375,1.95,0.925
